relative_path,extension,size_bytes,reachable,depth,is_entry,is_grain,included_by_count,includes_count
"CBoxLib/BranchPredictor.h",.h,8779,True,5,False,False,1,0
"CBoxLib/CBoxBase.h",.h,48442,True,4,False,False,32,14
"CBoxLib/CBoxLib_global.h",.h,236,False,-1,False,False,0,0
"CBoxLib/cBox_core.h",.h,254,True,5,False,False,1,0
"CORE/CORE_global.h",.h,218,False,-1,False,False,0,0
"CORE/IPR_IntegerRegister_enum.h",.h,704,False,-1,False,False,0,0
"EBoxLib/EA_Calculation_helpers.h",.h,9363,False,-1,False,False,0,5
"EBoxLib/EBoxBase.h",.h,77737,True,4,False,False,92,16
"EBoxLib/EBoxLib_global.h",.h,236,False,-1,False,False,0,0
"EBoxLib/EboxVAState.h",.h,7125,False,-1,False,False,1,2
"EBoxLib/VaState_inl_helpers.h",.h,332,False,-1,False,False,0,1
"EBoxLib/handleVA_FaultOrMiss_inl.h",.h,237,False,-1,False,False,0,2
"EBoxLib/prefetchVA_inl.h",.h,609,False,-1,False,False,1,3
"EBoxLib/prepareForVATranslation.h",.h,1056,False,-1,False,False,0,5
"EBoxLib/validateVirtualAddressInASN_inl.h",.h,8698,False,-1,False,False,0,3
"EmulatR_Fwd.h",.h,156,False,-1,False,False,0,0
"FBoxLib/FBoxBase.h",.h,84976,True,4,False,False,336,14
"FBoxLib/FBoxLib_global.h",.h,236,False,-1,False,False,1,0
"FBoxLib/fboxlib.cpp",.cpp,88,False,-1,False,False,0,2
"FBoxLib/fboxlib.h",.h,174,False,-1,False,False,1,1
"IBoxLib/EV6_ICTL_ShadowHelpers.h",.h,4282,False,-1,False,False,0,1
"IBoxLib/IBoxBase.h",.h,30544,False,-1,False,False,1,15
"IBoxLib/IBoxLib_global.h",.h,236,False,-1,False,False,1,0
"IBoxLib/iBoxBase.cpp",.cpp,21,False,-1,False,False,0,1
"IBoxLib/iboxlib.cpp",.cpp,26,False,-1,False,False,0,1
"IBoxLib/iboxlib.h",.h,156,False,-1,False,False,1,1
"IPRStorage_Hot_osf.cpp",.cpp,0,False,-1,False,False,0,0
"LoggingConfig.h",.h,693,False,-1,False,False,0,0
"MBoxLib_EV6/EncodeTLBTagEV6_inl.h",.h,284,False,-1,False,False,0,4
"MBoxLib_EV6/HW_IPR.h",.h,73,False,-1,False,False,0,0
"MBoxLib_EV6/MBoxBase.cpp",.cpp,461,True,5,False,False,0,1
