Opcode	Function	Mnemonic	Description	Type	Box
0x00	0x0000	CALL_PAL	CALL_PAL	PALcode	PalBox
0x00	0x0000	HALT	HALT	PALcode	PalBox
0x00	0x0001	RESTART	RESTART	PALcode	PalBox
0x00	0x0001	CFLUSH	CFLUSH	PALcode	PalBox
0x00	0x0002	REBOOT	REBOOT	PALcode	PalBox
0x00	0x0002	DRAINA	DRAINA	PALcode	PalBox
0x00	0x0003	LDQP	LDQP	PALcode	PalBox
0x00	0x0003	REBOOT_64	REBOOT_64	PALcode	PalBox
0x00	0x0004	INITPAL	INITPAL	PALcode	PalBox
0x00	0x0005	STQP	STQP	PALcode	PalBox
0x00	0x0005	SWPCTX	SWPCTX	PALcode	PalBox
0x00	0x0006	MFPR_ASN	MFPR_ASN	PALcode	PalBox
0x00	0x0007	MTPR_ASTEN	MTPR_ASTEN	PALcode	PalBox
0x00	0x0008	DI	DI	PALcode	PalBox
0x00	0x0008	MTPR_ASTSR	MTPR_ASTSR	PALcode	PalBox
0x00	0x0009	EI	EI	PALcode	PalBox
0x00	0x0009	CSERVE	CSERVE	PALcode	PalBox
0x00	0x000B	MFPR_FEN	MFPR_FEN	PALcode	PalBox
0x00	0x000C	SSIR_64	SSIR_64	PALcode	PalBox
0x00	0x000C	MTPR_FEN	MTPR_FEN	PALcode	PalBox
0x00	0x000D	WRIPIR	WRIPIR	PALcode	PalBox
0x00	0x000D	CSIR	CSIR	PALcode	PalBox
0x00	0x000D	MTPR_IPIR	MTPR_IPIR	PALcode	PalBox
0x00	0x000E	MFPR_IPL	MFPR_IPL	PALcode	PalBox
0x00	0x000F	MTPR_IPL	MTPR_IPL	PALcode	PalBox
0x00	0x0010	RDMCES_64	RDMCES_64	PALcode	PalBox
0x00	0x0010	MFPR_MCES	MFPR_MCES	PALcode	PalBox
0x00	0x0011	WRMCES_64	WRMCES_64	PALcode	PalBox
0x00	0x0011	MTPR_MCES	MTPR_MCES	PALcode	PalBox
0x00	0x0011	SWPPROCESS	SWPPROCESS	PALcode	PalBox
0x00	0x0012	RDMCES	RDMCES	PALcode	PalBox
0x00	0x0012	RDPCBB_64	RDPCBB_64	PALcode	PalBox
0x00	0x0012	MFPR_PCBB	MFPR_PCBB	PALcode	PalBox
0x00	0x0013	MFPR_PRBR	MFPR_PRBR	PALcode	PalBox
0x00	0x0013	WRMCES	WRMCES	PALcode	PalBox
0x00	0x0013	WRPRBR_64	WRPRBR_64	PALcode	PalBox
0x00	0x0014	TBIA	TBIA	PALcode	PalBox
0x00	0x0014	MTPR_PRBR	MTPR_PRBR	PALcode	PalBox
0x00	0x0015	TBIS	TBIS	PALcode	PalBox
0x00	0x0015	MFPR_PTBR	MFPR_PTBR	PALcode	PalBox
0x00	0x0015	THIS_64	THIS_64	PALcode	PalBox
0x00	0x0016	DTBIS	DTBIS	PALcode	PalBox
0x00	0x0017	TBISASN	TBISASN	PALcode	PalBox
0x00	0x0017	MTPR_SCBB	MTPR_SCBB	PALcode	PalBox
0x00	0x0018	RDKSP	RDKSP	PALcode	PalBox
0x00	0x0018	RDKSP_64	RDKSP_64	PALcode	PalBox
0x00	0x0018	MTPR_SIRR	MTPR_SIRR	PALcode	PalBox
0x00	0x0019	MFPR_SISR	MFPR_SISR	PALcode	PalBox
0x00	0x001A	RDPSR_64	RDPSR_64	PALcode	PalBox
0x00	0x001A	MFPR_TBCHK	MFPR_TBCHK	PALcode	PalBox
0x00	0x001B	MTPR_TBIA	MTPR_TBIA	PALcode	PalBox
0x00	0x001C	RDPER_64	RDPER_64	PALcode	PalBox
0x00	0x001C	MTPR_TBIAP	MTPR_TBIAP	PALcode	PalBox
0x00	0x001D	MTPR_TBIS	MTPR_TBIS	PALcode	PalBox
0x00	0x001E	RDTHREAD_64	RDTHREAD_64	PALcode	PalBox
0x00	0x001E	MFPR_ESP	MFPR_ESP	PALcode	PalBox
0x00	0x001F	MTPR_ESP	MTPR_ESP	PALcode	PalBox
0x00	0x0020	MFPR_SSP	MFPR_SSP	PALcode	PalBox
0x00	0x0020	WRPERFMON	WRPERFMON	PALcode	PalBox
0x00	0x0021	MTPR_SSP	MTPR_SSP	PALcode	PalBox
0x00	0x0021	SWPIPL	SWPIPL	PALcode	PalBox
0x00	0x0022	RDUSP_64	RDUSP_64	PALcode	PalBox
0x00	0x0022	MFPR_USP	MFPR_USP	PALcode	PalBox
0x00	0x0023	WRUSP_64	WRUSP_64	PALcode	PalBox
0x00	0x0023	MTPR_USP	MTPR_USP	PALcode	PalBox
0x00	0x0024	MTPR_TBISD	MTPR_TBISD	PALcode	PalBox
0x00	0x0025	MTPR_TBISI	MTPR_TBISI	PALcode	PalBox
0x00	0x0026	MFPR_ASTEN	MFPR_ASTEN	PALcode	PalBox
0x00	0x0027	MFPR_ASTSR	MFPR_ASTSR	PALcode	PalBox
0x00	0x0029	MFPR_VPTB	MFPR_VPTB	PALcode	PalBox
0x00	0x002A	MTPR_VPTB	MTPR_VPTB	PALcode	PalBox
0x00	0x002B	WRFEN	WRFEN	PALcode	PalBox
0x00	0x002B	MTPR_PERFMON	MTPR_PERFMON	PALcode	PalBox
0x00	0x002D	WRVPTPTR	WRVPTPTR	PALcode	PalBox
0x00	0x002E	MTPR_DATFX	MTPR_DATFX	PALcode	PalBox
0x00	0x0030	RDCOUNTERS	RDCOUNTERS	PALcode	PalBox
0x00	0x0030	SWPCTX	SWPCTX	PALcode	PalBox
0x00	0x0031	WRVAL	WRVAL	PALcode	PalBox
0x00	0x0032	RDVAL	RDVAL	PALcode	PalBox
0x00	0x0033	TBI	TBI	PALcode	PalBox
0x00	0x0034	WRENT	WRENT	PALcode	PalBox
0x00	0x0035	SWPIPL	SWPIPL	PALcode	PalBox
0x00	0x0036	RDPS	RDPS	PALcode	PalBox
0x00	0x0037	WRKGP	WRKGP	PALcode	PalBox
0x00	0x0038	WRUSP	WRUSP	PALcode	PalBox
0x00	0x003A	RDUSP	RDUSP	PALcode	PalBox
0x00	0x003C	WHAMI	WHAMI	PALcode	PalBox
0x00	0x003D	RETSYS_64	RETSYS_64	PALcode	PalBox
0x00	0x003F	MFPR_WHAMI	MFPR_WHAMI	PALcode	PalBox
0x00	0x003F	RTI	RTI	PALcode	PalBox
