OpCode-Dec	Opcode	OPCodeHex	Mnemonic	qualifier	Mneumonic/Qualifier	FunctionCode	FC - Formatted		Architecture	Format
0	0	0x00	HALT		HALT	0	0x0000		Common	PAL-Unprivileged
16	10	0x10	ADDL	 	ADDL	0	0x0000		Alpha	Opr
17	11	0x11	AND	 	AND	0	0x0000		Alpha	Opr
19	13	0x13	MULL	 	MULL	0	0x0000		Alpha	Opr
26	1A	0x1A	JMP	 	JMP	0	0x0000		Alpha	Mem-Barrier
0	0	0x00	CFLUSH		CFLUSH	1	0x0001		Common	PAL
22	16	0x16	SUBS	C	SUBS_C	1	0x0001		IEEE	Floating-Point
26	1A	0x1A	JSR	 	JSR	1	0x0001		Alpha	Mem-Barrier
0	0	0x00	DRAINA		DRAINA	2	0x0002		Common	PAL
16	10	0x10	S4ADDL	 	S4ADDL	2	0x0002		Alpha	Opr
18	12	0x12	MSKBL	 	MSKBL	2	0x0002		Alpha	Opr
22	16	0x16	MULS	C	MULS_C	2	0x0002		IEEE	Floating-Point
26	1A	0x1A	RET	 	RET	2	0x0002		Alpha	Mem-Func-Code
0	0	0x00	LDQP		LDQP	3	0x0003		Alpha	PAL
0	0	0x00	REBOOT		REBOOT	3	0x0003		Tru64	PAL-Tru64
22	16	0x16	DIVS	C	DIVS_C	3	0x0003		IEEE	Floating-Point
26	1A	0x1A	JSR_COROUTINE	 	JSR_COROUTINE	3	0x0003		Alpha	Mem-Barrier
0	0	0x00	INITPAL		INITPAL	4	0x0004		Tru64	PAL-Tru64
0	0	0x00	STQP		STQP	5	0x0005		Alpha	PAL-Unprivileged
0	0	0x00	SWPCTX		SWPCTX	5	0x0005		Alpha	PAL
0	0	0x00	MFPR_ASN		MFPR_ASN	6	0x0006		Alpha	PAL-Unprivileged
0	0	0x00	SWPIRQL		SWPIRQL	6	0x0006		Tru64	PAL-Tru64
18	12	0x12	EXTBL	 	EXTBL	6	0x0006		Alpha	Opr
0	0	0x00	MTPR_ASTEN		MTPR_ASTEN	7	0x0007		Alpha	PAL-Unprivileged
0	0	0x00	RDIRQL		RDIRQL	7	0x0007		Tru64	PAL-Tru64
0	0	0x00	MTPR_ASTSR		MTPR_ASTSR	8	0x0008		Alpha	PAL-Unprivileged
0	0	0x00	DI		DI	8	0x0008		Tru64	PAL-Tru64
17	11	0x11	BIC	 	BIC	8	0x0008		Alpha	Opr
0	0	0x00	CSERVE		CSERVE	9	0x0009		Common	PAL
16	10	0x10	SUBL	 	SUBL	9	0x0009		Alpha	Floating-Point
0	0	0x00	MFPR_MCES		MFPR_MCES	10	0x0010		Alpha	PAL-Unprivileged
